,a,b
10,0.169653297936222,0.0
16,0.25491499667584766,0.0006291788347748117
32,0.22539469264360093,2.8003211679209672e-05
35,0.24460038275767793,0.0
36,0.16895379579503966,0.0
40,0.29765997560164137,0.00861887749126528
41,0.1545993894360924,0.00037257824143070045
45,0.18850962213794073,0.0
48,0.24825417379642048,5.4520827096557e-05
86,0.25896087606734525,1.240732236264601e-05
96,0.250817680590599,0.0005329988220732628
99,0.19158428209429315,6.484908211121174e-05
106,0.25941139515778283,0.00011134926666736814
116,0.18160289590310905,0.0
133,0.24937285143547339,0.0002128900297692912
155,0.189842976375725,0.0
187,0.21138019295136837,0.00042041848399408454
199,0.17970005356186394,0.0
202,0.2634471927758147,0.0
224,0.22334096109839818,0.0009997600760382995
270,0.191707439020035,0.0
280,0.21984682802965147,0.00034034351744820603
285,0.2293331054812663,0.0006218133262464904
309,0.23847179031541538,0.000514136729821811
314,0.2006728971962617,0.0
352,0.26309856393667597,0.0023876403165601448
368,0.20008945877441478,0.0
384,0.1983666531170319,0.0
402,0.20690718470551958,0.0
407,0.1680651221039449,0.0
414,0.20216932811087676,0.0
425,0.19845465636437576,0.0
427,0.17528163265306124,0.0
452,0.2228495516439721,4.085652265963596e-05
489,0.1918238993710692,0.0
544,0.2275347575449305,0.0
602,0.26711783439490444,0.0012780625085771396
621,0.23637164244826067,0.0
628,0.2241429704789344,0.0
641,0.20746695524464714,6.208818226818161e-06
667,0.22860063026999403,8.290287846286416e-05
673,0.21903945811400824,0.00038986936561137054
677,0.24527094946541167,5.2180924724570224e-05
723,0.19532785095699004,0.0
732,0.21904839631110748,0.0
751,0.21447978264343934,0.0006084128126199669
756,0.2200270525064557,0.0
767,0.22311816783739974,0.00040342377593914034
769,0.23193916349809887,8.583069120130685e-05
784,0.19657243298667057,0.00037257824143070045
806,0.2089610339055627,0.0
816,0.1974981604120677,0.0
819,0.19507231630205685,0.0
830,0.22078723316744128,0.0007528065033976878
863,0.2264787781621804,0.0
909,0.20798946104072222,0.0003732580187660104
950,0.23641328283273144,0.0027257706299728983
958,0.1896618732996502,0.0
993,0.1742291463810451,0.00012709170929006697
1001,0.1953136370251783,0.0
1017,0.20030598156647636,0.0
1031,0.18484848484848485,0.0
1081,0.19330908567107205,0.0
1123,0.2576804915514593,0.0
1125,0.16518956179222058,0.00037257824143070045
1127,0.17309428608280666,0.0
1133,0.19716447513406302,0.0
1138,0.26870901536767283,0.0029367216859853933
1140,0.22366666666666668,0.0006969996219941264
1170,0.19748362887204768,0.0
1186,0.23260247855100094,0.0004172303990308456
1209,0.1753045295712093,0.0
1245,0.2648771341162538,0.0004386373229314821
1246,0.2264787781621804,0.0
1249,0.21193935565382185,0.0004549869962777578
1256,0.18720792355443955,0.0
1275,0.1983666531170319,0.0
1286,0.22479061976549414,7.130855026149414e-05
1292,0.21625976955926193,0.0
1316,0.21668752270617203,0.0
1363,0.18175661948940205,0.0
1364,0.20976124418740963,0.0
1367,0.19759266757463098,0.0003885579946689991
1371,0.2461256304447501,0.0006937659769626758
1373,0.23421615253719621,0.0
1377,0.23596641610620248,0.0
1381,0.24283000090473175,0.0014946348195963605
1387,0.2653484923381117,0.00015542586779329723
1406,0.20497155294207492,0.0
1412,0.2303170721242545,0.0
1422,0.22538522903808203,4.558344943279796e-05
1449,0.2565352449223417,2.6843493878895385e-05
1497,0.2084012733907912,0.00021434780254104074
1505,0.2010486891385768,0.00040638847132890444
1521,0.2357280871245389,0.00014224586812879063
1580,0.23364526659412405,0.0004185061507101772
1601,0.2682122514240032,0.002690701860003235
1621,0.19478210384992198,0.0
1645,0.2627765811631095,0.0018826120258764551
1652,0.2883231281555484,0.00406003827399037
1658,0.22676579925650558,2.644166813747565e-05
1661,0.2612673999805315,0.00015746695493118262
1702,0.22558413178685494,0.0002131314637714519
1706,0.2516761217122228,0.0009376233860385431
1708,0.27483104648781487,0.004118002931536948
1727,0.15748863136276955,0.0
1738,0.24059880776298687,6.993888927544974e-05
1765,0.19328820394642085,0.0
1781,0.22649789029535866,0.00037257824143070045
1785,0.21645161290322582,0.0
1821,0.20101104662048305,0.0
1832,0.2007554508395976,0.0
1834,0.2363612346440051,9.616767670639555e-05
1850,0.22423660136179457,0.0003802747527019915
1862,0.18819899730042422,0.0
1888,0.21803411860276198,2.499877891773371e-05
1899,0.2746482476336659,0.003003441317425592
1909,0.23234072022160665,0.00025417989140497674
1925,0.1494556895063619,0.0
1967,0.22047890910584467,0.0
1968,0.21535745807590467,0.0
1969,0.16240583305600098,0.0
1975,0.22827011396496003,0.0
1993,0.20865238854122128,0.0
1996,0.2434025573592092,0.00024021193493168765
1999,0.18910730641865708,0.0
2000,0.17142492176023505,0.0
2002,0.22747690482244257,0.0
2006,0.23431839015234188,0.0017317870565337454
2037,0.16428462127008417,0.0
2059,0.13445883325401398,0.0
2064,0.19770910832013555,0.0
2067,0.1723772518544684,0.0
2095,0.21383046526449967,0.0
2099,0.1722224004619975,0.0
2109,0.2094584048696738,0.00037257824143070045
2116,0.1824919258881523,0.0
2122,0.2358420104564826,0.0
2141,0.24321507860994065,5.11290267790728e-06
2167,0.22541362223901906,0.0
2174,0.22175403808815633,0.0
2175,0.22213945789364783,0.0
2185,0.23285472606602178,0.0
2186,0.24121506246068122,0.0
2187,0.24170381376919267,0.0020865086520190776
2191,0.2579653034744582,0.0
2193,0.23076261714383975,0.0
2194,0.20599409033347404,3.5766960924834426e-06
2200,0.2298535582769547,0.0
2225,0.2705508794919611,0.003180861790544458
2238,0.18389229557055256,0.0011174570434712102
2248,0.29452430593657414,0.008053010475999827
2274,0.2700472884596036,0.0017169759411510537
2275,0.24884109030224366,0.00015684724892794257
2289,0.2559359206636788,1.959111518193992e-05
2309,0.20223025919228452,4.911766718339213e-06
2341,0.23212972972972973,1.421040169415006e-05
2455,0.1722224004619975,0.0
2458,0.25313590493256627,0.0007319591971014714
2471,0.2875200856989823,0.0026637065783546125
2478,0.21742476406496822,0.0
2497,0.23526318096156373,0.00038073123241509524
2566,0.2202527490562941,0.0
2579,0.25918593983873306,0.00015382772651131824
2601,0.17309986778884912,0.0
2610,0.2352425610237083,2.8687858598366133e-05
2616,0.2033410356452896,0.0
2649,0.25944900918318026,0.004444274803824099
2658,0.23772197865462114,0.0006010230464893558
2695,0.2250073353732657,5.9473783454317336e-05
2714,0.18236792933582469,0.0
2780,0.21216552705426664,0.0
2781,0.21349878693871058,2.1907063193749243e-05
2788,0.2707146099147713,0.0019450881326261423
2824,0.2005154831720892,0.0
2846,0.17485342019543973,0.0
2896,0.20990888828060844,0.0016672548061229951
2924,0.24510296333500753,0.000987132898395657
2943,0.2354489231983859,8.325738097186304e-05
2945,0.15880717117330337,0.0
2972,0.22223142206582489,0.00021109205409710073
2995,0.2241429704789344,0.0
3004,0.2418453775455037,0.0
3005,0.21527972729095649,4.068971111997491e-05
3006,0.22330379799492492,0.0
3022,0.23456412497268952,0.0004817511577908392
3067,0.20616814533164343,0.000319147040185392
3071,0.20521446593776282,0.0
3085,0.18140037848067045,0.0
3113,0.330155606125838,0.06673634706581985
3147,0.23458462614167722,0.0006127986143518727
3152,0.24081467856982638,0.00017665500337655165
3164,0.18936080146747566,0.0
3167,0.1544081691356249,0.0
3184,0.2641472296033855,0.0013449053953581637
3196,0.18420149612243497,2.2385723696033754e-05
3220,0.2387263185982389,0.00010599546452170377
3227,0.251299096484247,0.0
3230,0.25774235367551734,0.00032387821051965877
3238,0.2319091026914935,0.0
3259,0.20242090576567745,0.0
3265,0.21325282059431114,7.235285809451374e-05
3315,0.23931166688957248,0.00017102033626623174
3321,0.21618138617051266,2.2425241677648444e-05
3345,0.1773665950768214,0.0
3376,0.23968565815324164,0.0004308387576347114
3398,0.28222923238696107,0.0014695861601740474
3405,0.2660982501363208,0.0030301551367285843
3409,0.24823121387283237,0.0
3410,0.19757085020242915,0.0
3412,0.25904835440594537,7.456683616370631e-05
3451,0.26615102384848033,0.001862606841265321
3460,0.23013933547695606,0.0
3497,0.22982403562101297,0.0003725782414307004
3506,0.27793310551931244,0.0011377177355801787
3507,0.2832418742085268,0.0009275811508108232
3508,0.2127878859951639,1.1379245093681821e-05
3518,0.2119226213975523,2.233794245136378e-05
3520,0.19683913314509918,0.0
3583,0.20050050423934562,0.0
3587,0.2021008245171492,0.0
3590,0.1788677484922195,0.0
3605,0.24414426706690318,0.0002678600297270262
3628,0.19820551637558617,0.00037257824143070045
3638,0.2091075532702271,3.465737275257435e-05
3694,0.22353627050886982,0.0
3699,0.2378589152782701,1.3470762491450648e-05
3700,0.260039722908492,5.570506248048146e-05
3703,0.22047890910584467,0.0
3719,0.233747006313956,0.0
3741,0.2295488561043404,3.30087988625893e-05
3744,0.26436838217187886,0.00017246272817431963
3831,0.24956994746385233,0.0010719615074764818
3840,0.19598393574297188,0.0
3853,0.22254467061896274,0.00037257824143070045
3865,0.22844497404034386,0.0005581886879710327
3872,0.20717069970282892,1.3681457364832911e-05
3919,0.1710207722696572,0.0
3934,0.2236480293308891,0.000633364370048469
3935,0.20629491564505592,0.0003957823404364776
3941,0.23281432970464502,0.001311096278960986
3945,0.15182712976581061,0.0
3957,0.23148906809263012,0.00013964146661756607
4004,0.17968200836820084,2.5495434950493722e-05
4010,0.22318310327623483,0.0
4012,0.17792509115014915,0.00037257824143070045
4040,0.21648653008549765,0.0
4064,0.2303170721242545,0.0
4067,0.20307948397836037,0.0
4112,0.19270534175761056,0.0
4114,0.25569210250547775,0.0
4120,0.2661906178716652,0.0014021664308577252
4139,0.1841888553390063,0.0
4155,0.2724319935038571,0.0002744879300620112
4202,0.24934968413229283,0.0
4214,0.2073547589616811,0.0
4217,0.20914828956596276,0.0
4227,0.2034026751544087,0.0
4247,0.18125337655321447,0.0
4269,0.23855657274908898,6.123835785990154e-05
4381,0.19493064129566418,0.0
4427,0.2320594846965243,3.3721204837748866e-05
4442,0.22039743800295616,0.0
4451,0.22887353969472157,3.556668820885438e-05
4470,0.22898093247451265,9.65545533749771e-05
4486,0.2181227143437627,3.615927326507551e-06
4489,0.2243209360635186,0.0011452717757013805
4503,0.20812655086848636,0.0
4506,0.25882352941176473,0.0
4518,0.23815439219165926,0.0
4556,0.2392903312084875,0.00044248919182065247
4588,0.23019855053818775,5.7349165578282736e-05
4592,0.2241055400158644,0.0
4600,0.18052192628463815,0.0
4657,0.17897509418864402,0.00018625441061273883
4729,0.2232387923147301,0.0
4735,0.26870901536767283,0.0001264554534198772
4756,0.26991150442477874,0.0013863634685792917
4764,0.209229809791082,0.0
4778,0.23836589698046182,7.3838719431478e-05
4788,0.24650991917707568,9.445457328386024e-06
4806,0.23168889464370496,0.0002823214679807278
4815,0.2097776388291844,0.0003725782414307004
4822,0.23041593338198052,0.0
4825,0.2222130231402906,9.120055027324339e-05
4826,0.24157328653075918,0.0006197031688285551
4878,0.2045965621069482,0.0
4883,0.24653256177091945,0.00037257824143070045
4922,0.23739607288165576,0.0007593282516808297
4928,0.1996058453872755,0.0
4943,0.25554603446634294,0.0015625809989017003
4961,0.2248847926267281,0.00021018346651924906
4965,0.2195141899075816,0.0
4975,0.2024132730015083,1.648255864725114e-05
4990,0.18184281842818428,0.00037257824143070045
4998,0.19222918531781558,0.0
5035,0.23543859649122806,0.00037257824143070045
5045,0.20140321914981427,0.0
5061,0.20690718470551958,0.0
5069,0.1914817721338375,0.00038154349121129866
5074,0.2146598952293358,0.0
5080,0.21321046987329706,0.00020269409972099118
5106,0.21781294380198823,0.0007861832302038575
5112,0.2150468712442913,0.00037257824143070045
5115,0.19612714651077823,0.0
5182,0.2316988950276243,0.00018551113413708444
5216,0.2164079822616408,0.0007906972307268351
5225,0.19888110851765403,0.0
5242,0.21689765243040124,4.324502809496338e-05
5276,0.19347630203640295,0.0
5318,0.24821973550356052,0.0
5353,0.2058282208588957,0.0
5367,0.23017880879893657,5.9421686101997365e-05
5370,0.21645161290322582,4.9728782632501126e-05
5373,0.21392420196867654,0.0
5374,0.1963567195844612,0.0
5380,0.21383046526449967,0.0
5382,0.2152365677626303,0.0002394690611153297
5414,0.2155044361475772,0.00015310331229820067
5447,0.24460038275767793,0.0
5476,0.21717846016911438,0.0
5488,0.22664133417774962,3.3883542419706286e-05
5497,0.18995046001415428,0.0
5513,0.26032977691561593,0.0006353555644554936
5534,0.21691518163817836,1.0529647662618931e-05
5572,0.2100814026299311,0.0
5611,0.24274215429139911,0.0023367438612328442
5614,0.24090113539469551,2.6843493878895385e-05
5629,0.16349404562482867,0.0
5637,0.2860949741512551,0.004926405058977993
5677,0.2126108998732573,0.00011311075861711183
5683,0.21385602167244333,0.0
5696,0.21668752270617203,0.0
5707,0.23450264296011533,1.7753045924811887e-05
5708,0.1841193620305265,0.0
5750,0.2073707795719694,0.00037257824143070045
5751,0.24129096057895447,0.0012827103074211934
5803,0.2396214623694313,0.0015326605516276526
